cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
glycan feature,sequence,potency,quality_outcome,decreases,1,1,high,the glycan that correlated the most with decreased potency was relatively small,40291659
HFI,sequence,tumor cell inhibition,stability,promotes,1,1,medium,inhibit or kill tumor cells.,23258564
electron-withdrawing,structure,payload release,stability,modifies,1,1,high,Modulating the electron-withdrawing nature of the aryl sulfonamide was critical to the balance between the stability and,39424599
stability,stability,payload release,stability,increases,1,1,high,Favorable stability and payload release in human serum under physiologically relevant thiol concentrations was demonstra,39424599
disulfide bonds,structure,cleavable linker,structure,requires,1,1,medium,Linkers with disulfide bonds are the only cleavable linkers that utilize physiological thiol gradients.,39424599
physiological thiol gradients,stress,intracellular drug release,stability,induces,1,1,high,Linkers with disulfide bonds are the only cleavable linkers that utilize physiological thiol gradients as a trigger.,39424599
cleavable linker,structure,intracellular payload release,stability,promotes,1,1,high,Intracellular payload release was further validated in cell-based assay in context of antibody-drug conjugate.,39424599
monoclonal antibody,formulation,thermal stability,stability,increases,1,1,high,Substituting the monoclonal antibody 2B04 for LCB1-BSA significantly improved the thermal stability.,38753414
monoclonal antibody,formulation,shelf life,stability,increases,1,1,high,Substituting the monoclonal antibody 2B04 for LCB1-BSA significantly improved the shelf life.,38753414
monoclonal antibody,formulation,affordability,quality_outcome,decreases,1,1,high,Substituting the monoclonal antibody 2B04 for LCB1-BSA significantly improved the affordability.,38753414
affibodies,sequence,high avidity capture,structure,induces,1,1,high,LCB1 affibodies were conjugated to bovine serum albumin (BSA) to afford a high-avidity synthetic capture.,38753414
high avidity,structure,p-LFA sensitivity,stability,increases,1,1,high,this substitution significantly improved the sensitivity of p-LFAs toward the spike protein.,38753414
high avidity,structure,detection,stability,increases,1,1,high,this substitution significantly improved the sensitivity of p-LFAs toward the VLPs.,38753414
iVVD,stress,cell growth dynamics,stability,increases,1,1,medium,positive correlation between iVVD and overall cell growth.,40756645
LCB1-BSA,formulation,availability,quality_outcome,increases,1,1,high,Synthetic captures like LCB1-BSA can increase the availability.,38753414
LCB1-BSA,formulation,sustainability,quality_outcome,increases,1,1,high,Synthetic captures like LCB1-BSA can increase the sustainability.,38753414
LCB1-BSA,formulation,long-term accuracy,quality_outcome,increases,1,1,high,Synthetic captures like LCB1-BSA can increase the long-term accuracy.,38753414
LCB1-BSA,formulation,manufacturing costs,quality_outcome,decreases,1,1,high,Synthetic captures like LCB1-BSA can decrease their manufacturing costs.,38753414
cathepsin B linkers,structure,substrate discrimination,stability,increases,1,1,medium,"These structural refinements are correlated with improvements in substrate discrimination, stability, and cleavage effic",40912307
cathepsin B linkers,structure,stability,stability,increases,1,1,medium,"These structural refinements are correlated with improvements in substrate discrimination, stability, and cleavage effic",40912307
cathepsin B linkers,structure,cleavage efficiency,stability,increases,1,1,medium,"These structural refinements are correlated with improvements in substrate discrimination, stability, and cleavage effic",40912307
linker stability,stability,target site cleavage,stability,requires,1,1,medium,Key challenges include achieving a balance between linker stability in circulation and efficient cleavage at the target ,40912307
linker stability,stability,minimize off-target activation,stability,requires,1,1,medium,Key challenges include achieving a balance between linker stability in circulation and efficient cleavage at the target ,40912307
NTERM conjugation,formulation,toxicity,quality_outcome,decreases,1,1,high,The NTERM-conjugated ADC showed lower toxicity compared to other ADCs.,33904380
NTERM conjugation,formulation,therapeutic window,quality_outcome,increases,1,1,high,NTERM conjugation method could widen the therapeutic window of ADCs.,33904380
LCB1-BSA,formulation,ultrasensitivity,quality_outcome,increases,1,1,high,Synthetic captures like LCB1-BSA can increase the ultrasensitivity.,38753414
CSPR,stress,metabolic rates,stability,increases,1,1,medium,specific metabolic rates are driven by the CSPR after a metabolic adaptation.,40756645
CSPR,stress,metabolism,stability,increases,1,1,medium,accelerating overall metabolism without necessarily affecting growth.,40756645
PRI,stress,cell growth dynamics,stability,increases,1,1,medium,the effect of varying the perfusion rate increase (PRI) while keeping the amount of exchanged medium constant.,40756645
CSPR,stress,viability,stability,increases,1,1,medium,optimization of factors such as CSPR...can lead to improved cell growth and viability.,40756645
CSPR,stress,media expenditure,stability,decreases,1,1,medium,"potential to decrease media expenditure, thereby reducing manufacturing costs.",40756645
CSPR,stress,metabolic adaptation,stability,requires,1,1,medium,specific metabolic rates are driven by the CSPR after a metabolic adaptation until day 2.5.,40756645
RBD modifications,sequence,hyperglycosylation,structure,stabilizes,1,1,high,introducing two modifications into the wild-type RBD gene to reduce yeast-derived hyperglycosylation,33173864
reduced hyperglycosylation,structure,improved stability,stability,stabilizes,1,1,high,reduce yeast-derived hyperglycosylation and improve stability during protein expression,33173864
RBD219-N1C1,structure,titer,stability,induces,1,1,high,"elicit strong neutralizing antibody titers in the 1:1,000 to 1:10,000 range",33173864
Alhydrogel formulation,formulation,binding IgG,stability,induces,1,1,high,formulated with Alhydrogel were conducted in mice,33173864
Alhydrogel formulation,formulation,titer,stability,induces,1,1,high,"elicit strong neutralizing antibody titers in the 1:1,000 to 1:10,000 range",33173864
electron-withdrawing,structure,stability,stability,modifies,1,1,high,Modulating the electron-withdrawing nature of the aryl sulfonamide was critical to the balance between the stability and,39424599
docking score,stability,stability,stability,increases,1,1,medium,the highest docking score were subjected to molecular dynamics (MD) simulation.,35123137
strong interaction,structure,stability,stability,increases,1,1,medium,"C1, C3, and C6 revealed strong interaction with the target's active site and remained highly stable.",35123137
conjugation methods,formulation,homogeneity,stability,increases,1,1,medium,technologies aiming to improve the homogeneity and stability of ADCs are being developed and tested.,39329289
enzymatic methods,formulation,stability,stability,promotes,1,1,medium,"These include enzymatic methods, oligosaccharide remodelling, and technologies using genetic code expansion techniques.",39329289
oligosaccharide remodelling,formulation,stability,stability,promotes,1,1,medium,"These include enzymatic methods, oligosaccharide remodelling, and technologies using genetic code expansion techniques.",39329289
genetic code expansion,formulation,stability,stability,promotes,1,1,medium,"These include enzymatic methods, oligosaccharide remodelling, and technologies using genetic code expansion techniques.",39329289
engineered methionines,sequence,sulfimide stability,stability,increases,1,1,high,the stability to hydrolysis of the sulfimide varied more than 10-fold depending on temperature and the site of the engin,32123103
engineered methionines,sequence,water accessibility,structure,modifies,1,1,high,"the most stable and reactive sites were those that were partially buried, presumably because of their reduced access to ",32123103
oxaziridine,formulation,sulfimide stability,stability,increases,1,1,high,there was also a 10-fold variation in stability depending on the nature of the oxaziridine.,32123103
